Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
Beastie Boys Book,Michael    Diamond,"Diamond, Michael","Adam  Horovitz, Ada Calhoun, Colson Whitehead, Lucy Sante, Jonathan Lethem, Judit Tondora, Spike Jonze, Ian  Rogers, Roy Choi, Amy Poehler, Wes Anderson, André Leon Talley, Blake Lethem, Anita Sarko, Kate Schellenbach, Mix Master Mike, YoshimiO",812995546,9.78081E+12,3,4.53,572,2018,2018,3/14/19,3/15/19,,,read
Wild Bill Donovan: The Spymaster Who Created the OSS and Modern American Espionage,Douglas C. Waller,"Waller, Douglas C.",,1416567445,9.78142E+12,4,3.76,480,2011,2011,3/3/19,3/3/19,,,read
Killing Patton: The Strange Death of World War II's Most Audacious General,Bill O'Reilly,"O'Reilly, Bill",Martin Dugard,805096698,9.78081E+12,5,4.13,365,2014,2014,2/17/19,2/17/19,,,read
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,,,3,3.74,215,1994,1958,2/11/19,2/11/19,,,read
"Death Without Company (Walt Longmire, #2)",Craig Johnson,"Johnson, Craig",,143038389,9.78014E+12,4,4.22,271,2007,2006,2/4/19,2/5/19,,,read
The Chaperone,Laura Moriarty,"Moriarty, Laura",,1594487014,9.78159E+12,3,3.88,367,2012,2012,2/2/19,2/2/19,,,read
The Big Fella: Babe Ruth and the World He Created,Jane Leavy,"Leavy, Jane",,62380249,9.78006E+12,2,3.75,640,2018,2018,1/24/19,1/24/19,,,read
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,,9.78077E+12,4,4.49,541,2006,2006,1/21/19,1/21/19,,,read
"The Beekeeper's Apprentice (Mary Russell and Sherlock Holmes, #1)",Laurie R. King,"King, Laurie R.",,553381520,9.78055E+12,5,4.04,384,2002,1994,1/16/19,5/1/17,,,read
Operation Mincemeat: How a Dead Man and a Bizarre Plan Fooled the Nazis and Assured an Allied Victory,Ben Macintyre,"Macintyre, Ben",,747598681,9.78075E+12,4,4.03,416,2010,2010,1/9/19,1/9/19,,,read
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,"Grann, David",,385534256,9.78039E+12,4,4.14,359,2017,2017,12/18/18,12/18/18,,,read
"Three Cups of Deceit: How Greg Mortenson, Humanitarian Hero, Lost His Way",Jon Krakauer,"Krakauer, Jon",,1614520011,9.78161E+12,3,3.72,77,2011,2011,12/3/18,12/3/18,,,read
Fantastic Beasts and Where to Find Them,Newt Scamander,"Scamander, Newt",J.K. Rowling,439321603,9.78044E+12,4,3.95,128,2001,2001,11/29/18,11/29/18,,,read
The Gentle Art of Swedish Death Cleaning,Margareta Magnusson,"Magnusson, Margareta",,1501173243,9.7815E+12,0,3.42,117,2018,2017,11/28/18,11/28/18,,,read
City of Devils: The Two Men Who Ruled the Underworld of Old Shanghai,Paul   French,"French, Paul",,1427298467,9.78143E+12,4,3.59,0,2018,2018,11/21/18,11/21/18,,,read
The Mistletoe Murder And Other Stories,P.D. James,"James, P.D.",,1524708089,9.78152E+12,3,3.75,,2016,2016,11/13/18,11/13/18,,,read
"One Second After (After, #1)",William R. Forstchen,"Forstchen, William R.",Newt Gingrich,765317583,9.78077E+12,3,3.98,352,2009,2009,11/6/18,11/6/18,,,read
It,Stephen  King,"King, Stephen",,450411435,9.78045E+12,4,4.24,1184,1987,1986,10/24/18,10/24/18,,,read
Spinning Silver,Naomi Novik,"Novik, Naomi",,,,2,4.18,465,2018,2018,10/14/18,1/18/18,,,read
"Ghost (Track, #1)",Jason Reynolds,"Reynolds, Jason",,1481450158,9.78148E+12,3,4.18,181,2016,2016,10/4/18,10/4/18,,,read
11/22/63,Stephen  King,"King, Stephen",,1451627289,9.78145E+12,5,4.35,849,2011,2011,10/3/18,10/3/18,,,read
Refugee,Alan Gratz,"Gratz, Alan",,545880874,9.78055E+12,4,4.36,352,2017,2017,9/20/18,9/20/18,,,read
A Separate Peace,John Knowles,"Knowles, John",David Levithan,,,4,3.6,208,2003,1959,9/14/18,9/14/18,,,read
Norse Mythology,Neil Gaiman,"Gaiman, Neil",,,,0,4.1,301,2018,2017,9/11/18,9/11/18,,,read
Future Home of the Living God,Louise Erdrich,"Erdrich, Louise",,62694057,9.78006E+12,3,3.61,269,2017,2017,9/6/18,9/6/18,,,read
Carrion Comfort,Dan Simmons,"Simmons, Dan",,446359203,9.78045E+12,2,3.91,884,1990,1989,9/4/18,6/7/11,,,read
"The Magician’s Nephew (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,60764902,9.78006E+12,3,4.05,221,2005,1955,9/2/18,9/2/18,,,read
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,316204366,9.78032E+12,3,3.97,305,2013,2013,8/20/18,8/22/18,,,read
"An Event in Autumn (Kurt Wallander, #9.5)",Henning Mankell,"Mankell, Henning",,804170649,9.7808E+12,3,3.68,176,2014,2004,8/14/18,8/15/18,,,read
"Hatchet (Brian's Saga, #1)",Gary Paulsen,"Paulsen, Gary",,689840926,9.78069E+12,4,3.79,208,2000,1987,8/10/18,8/10/18,,,read
Mrs. Fletcher,Tom Perrotta,"Perrotta, Tom",,1501144022,9.7815E+12,4,3.36,309,2017,2017,8/8/18,8/8/18,,,read
"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,385732554,9.78039E+12,4,4.12,208,2006,1993,8/1/18,8/31/12,,,read
Noir,Christopher Moore,"Moore, Christopher",,62433970,9.78006E+12,3,3.8,339,2018,2018,7/28/18,7/28/18,,,read
"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,345539788,9.78035E+12,4,4.27,382,2014,2014,7/27/18,7/27/18,,,read
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,,,5,4.1,635,2011,2001,7/18/18,7/18/18,,,read
The 13 Clocks,James Thurber,"Thurber, James",Marc Simont,440405823,9.78044E+12,3,3.99,128,1992,1950,7/5/18,7/5/18,,,read
"Sing, Unburied, Sing",Jesmyn Ward,"Ward, Jesmyn",,,,4,4,285,2017,2017,7/2/18,7/2/18,,,read
"Red Sparrow (Red Sparrow Trilogy, #1)",Jason  Matthews,"Matthews, Jason",,1476706123,9.78148E+12,5,3.95,434,2013,2013,7/1/18,7/1/18,,,read
Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,,,5,4.33,512,2015,2011,6/25/18,6/25/18,,,read
Post Office,Charles Bukowski,"Bukowski, Charles",,,,4,3.93,162,2009,1971,6/9/18,6/10/18,,,read
Go Set a Watchman,Harper Lee,"Lee, Harper",,62409859,9.78006E+12,2,3.31,278,2015,2015,6/5/18,6/5/18,,,read
The Devil in the White City,Erik Larson,"Larson, Erik",,,,3,4,447,2004,2003,5/21/18,4/19/18,,,read
Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,,,3,4.4,152,2015,2015,5/17/18,5/17/18,,,read
Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,"McChrystal, Stanley","Chris Fussell, Tantum Collins, David        Silverman",1591847486,9.78159E+12,3,4.14,304,2015,2015,5/7/18,5/7/18,,,read
Nature Girl,Carl Hiaasen,"Hiaasen, Carl",,,,4,3.68,320,,2006,4/17/18,4/11/18,,,read
The Midnight Cool,Lydia Peelle,"Peelle, Lydia",,62475495,9.78006E+12,3,3.51,386,2017,2017,4/10/18,9/27/24,,,read
Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,393609391,9.78039E+12,4,4.08,223,2017,2017,3/29/18,3/29/18,,,read
The Life and Times of the Thunderbolt Kid,Bill Bryson,"Bryson, Bill",,076791936X,9.78077E+12,5,3.94,288,2006,2006,3/19/18,3/19/18,,,read
Hombre,Elmore Leonard,"Leonard, Elmore",,,,3,4.02,208,,1961,3/13/18,3/5/18,,,read
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"Hillenbrand, Laura",,1400064163,9.7814E+12,4,4.39,475,2010,2010,3/6/18,3/6/18,,,read
Mating in Captivity: Unlocking Erotic Intelligence,Esther Perel,"Perel, Esther",,,,3,4.17,276,,2006,3/4/18,2/17/18,,,read
"Teacher Man (Frank McCourt, #3)",Frank McCourt,"McCourt, Frank",,743243781,9.78074E+12,0,3.76,258,2005,2005,2/23/18,2/23/18,,,read
'Tis,Frank McCourt,"McCourt, Frank",,6551815,9.78001E+12,3,3.74,495,1999,1999,2/19/18,2/19/18,,,read
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"McCourt, Frank",,7205236,9.78001E+12,0,4.15,452,2005,1996,2/7/18,2/7/18,,,read
"Dodge City: Wyatt Earp, Bat Masterson, and the Wickedest Town in the American West (Frontier Lawmen)",Tom Clavin,"Clavin, Tom",,,,3,3.82,401,2017,2017,2/6/18,2/6/18,,,read
The Best We Could Do,Thi Bui,"Bui, Thi",,1419718770,9.78142E+12,4,4.35,329,2017,2017,1/21/18,1/21/18,,,read
Lincoln in the Bardo,George Saunders,"Saunders, George",,,,4,3.75,368,2017,2017,1/19/18,12/25/17,,,read
Secondhand Souls (Grim Reaper #2),Christopher Moore,"Moore, Christopher",,,,3,3.96,337,2015,2015,1/15/18,1/15/18,,,read
Evicted: Poverty and Profit in the American City,Matthew Desmond,"Desmond, Matthew",,553447432,9.78055E+12,4,4.47,418,2016,2016,12/31/17,12/13/17,,,read
Water for Elephants,Sara Gruen,"Gruen, Sara",,1565125606,9.78157E+12,4,4.11,368,2007,2006,12/21/17,12/18/17,,,read
Annihilation (Southern Reach #1),Jeff Vandermeer,"Vandermeer, Jeff",,1443428396,9.78144E+12,4,3.8,195,2014,2014,12/12/17,12/12/17,,,read
Batman: The Night of the Owls,Scott Snyder,"Snyder, Scott","Kyle Higgins, Eddy Barrows, Judd Winick, Justin Gray, David Finch, Peter J. Tomasi, Patrick Gleason, Tony S. Daniel, Scott Lobdell, Duane Swierczynski, J.H. Williams III, Jimmy Palmiotti",1401237738,9.7814E+12,4,4.05,360,2013,2013,12/3/17,12/3/17,,,read
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,7119313,9.78001E+12,4,4.2,274,2007,1934,11/28/17,11/28/17,,,read
"Poison Study (Study, #1)",Maria V. Snyder,"Snyder, Maria V.",,778324338,9.78078E+12,3,4.09,427,2007,2005,11/26/17,11/6/17,,,read
"The Cold Dish (Walt Longmire, #1)",Craig Johnson,"Johnson, Craig",,143036424,9.78014E+12,4,4.12,354,2006,2004,11/23/17,11/23/17,,,read
Slade House,David  Mitchell,"Mitchell, David",,812998685,9.78081E+12,4,3.81,238,2015,2015,10/22/17,10/22/17,,,read
The Stepford Wives,Ira Levin,"Levin, Ira",Peter Straub,60080841,9.78006E+12,3,3.88,144,2002,1972,10/14/17,10/13/17,,,read
Uprooted,Naomi Novik,"Novik, Naomi",,804179034,9.7808E+12,5,4.02,438,2015,2015,9/14/17,9/14/17,,,read
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,"Sloan, Robin",,374214913,9.78037E+12,5,3.72,288,2012,2012,8/28/17,8/28/17,,,read
The Westing Game,Ellen Raskin,"Raskin, Ellen",,014240120X,9.78014E+12,3,3.99,182,2004,1978,8/22/17,8/22/17,,,read
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,,,4,3.84,264,2016,2016,7/27/17,7/27/17,,,read
Made for Love,Alissa Nutting,"Nutting, Alissa",,62280554,9.78006E+12,3,3.46,307,2017,2017,7/16/17,7/16/17,,,read
Set the Boy Free,Johnny Marr,"Marr, Johnny",,62438727,9.78006E+12,3,4.19,465,2016,2016,7/2/17,7/2/17,,,read
"Razor Girl (Andrew Yancy, #2)",Carl Hiaasen,"Hiaasen, Carl",,385349742,9.78039E+12,4,3.88,335,2016,2016,6/25/17,6/25/17,,,read
Drop Dead Healthy: One Man's Humble Quest for Bodily Perfection,A.J. Jacobs,"Jacobs, A.J.",,141659907X,9.78142E+12,3,3.76,402,2012,2012,6/21/17,6/21/17,,,read
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"Colfer, Eoin",,,,2,3.86,396,2003,2001,6/17/17,6/17/17,,,read
"The Wind Through the Keyhole (The Dark Tower, #4.5)",Stephen  King,"King, Stephen",Jae Lee,,,3,4.14,322,2012,2012,6/12/17,6/12/17,,,read
The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,1594633665,9.78159E+12,4,3.96,336,2015,2015,5/18/17,5/18/17,,,read
The Sleepwalker,Chris Bohjalian,"Bohjalian, Chris",,038553891X,9.78039E+12,3,3.68,304,2017,2017,5/3/17,5/3/17,,,read
Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,385353308,9.78039E+12,4,4.07,333,2014,2014,5/1/17,5/1/17,,,read
"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)",Michael  Scott,"Scott, Michael",,385735359,9.78039E+12,4,4.24,513,2012,2012,4/30/17,4/30/17,,,read
"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",Michael  Scott,"Scott, Michael",,385735332,9.78039E+12,3,4.18,400,2011,2011,4/26/17,4/26/17,,,read
"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",Michael  Scott,"Scott, Michael",,385905165,9.78039E+12,4,4.13,416,2010,2010,4/21/17,4/21/17,,,read
"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",Michael  Scott,"Scott, Michael",,385735294,9.78039E+12,4,4.12,502,2009,2009,4/18/17,4/18/17,,,read
"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)",Michael  Scott,"Scott, Michael",,385733585,9.78039E+12,4,4.1,464,2008,2008,4/15/17,4/15/17,,,read
Sneaky People,Thomas Berger,"Berger, Thomas",,743257952,9.78074E+12,3,3.48,320,2005,1975,4/2/17,4/2/17,,,read
The Cocktail Waitress,James M. Cain,"Cain, James M.",,1781160325,9.78178E+12,3,3.55,270,2012,2012,3/26/17,3/26/17,,,read
"Mossflower (Redwall, #2)",Brian Jacques,"Jacques, Brian",,,,4,4.13,373,1998,1988,3/23/17,3/23/17,,,read
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,"Hsieh, Tony",,446563048,9.78045E+12,2,4.04,246,2010,2000,3/8/17,3/8/17,,,read
"Killing Floor (Jack Reacher, #1)",Lee Child,"Child, Lee",,515141429,9.78052E+12,4,4.08,474,2006,1997,2/23/17,2/23/17,,,read
The Nightingale,Kristin Hannah,"Hannah, Kristin",,312577222,9.78031E+12,5,4.65,564,2015,2015,1/31/17,12/21/16,,,read
Marx,Corinne Maier,"Maier, Corinne",Anne  Simon,1907704833,9.78191E+12,3,3.33,40,2014,2013,1/16/17,1/16/17,,,read
"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael  Scott,"Scott, Michael",,552562521,9.78055E+12,5,3.86,390,2010,2007,1/15/17,1/15/17,,,read
Einstein (Heroes of the Mind),Corinne Maier,"Maier, Corinne",Anne  Simon,1910620017,9.78191E+12,4,3.63,72,2016,2015,1/2/17,1/2/17,,,read
The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,039335315X,9.78039E+12,3,4.3,291,2015,2010,12/10/16,4/25/16,,,read
Kill My Mother,Jules Feiffer,"Feiffer, Jules",,871403145,9.78087E+12,3,3.13,150,2014,2014,12/7/16,12/8/16,,,read
"Hollywood Frame by Frame: The Unseen Silver Screen in Contact Sheets, 1951-1997",Karina Longworth,"Longworth, Karina",,1616892595,9.78162E+12,4,3.94,208,2014,2014,11/21/16,12/21/16,,,read
Cousin Joseph,Jules Feiffer,"Feiffer, Jules",,1631490656,9.78163E+12,4,3.35,128,2016,2016,11/15/16,12/8/16,,,read
"The Mummy, the Will, and the Crypt",John Bellairs,"Bellairs, John",Edward Gorey,014240263X,9.78014E+12,4,4.07,176,2004,1983,9/5/16,9/5/16,,,read
"The Gates (Samuel Johnson, #1)",John Connolly,"Connolly, John",,340995793,9.78034E+12,4,3.81,264,2009,2009,9/1/16,9/2/16,,,read
"Redwall (Redwall, #1)",Brian Jacques,"Jacques, Brian",,,,4,4.14,351,2012,1986,7/11/16,7/12/16,,,read
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"Spiegelman, Art",,394541553,9.78039E+12,4,4.39,159,1991,1986,4/10/16,4/11/16,,,read
The Martian,Andy Weir,"Weir, Andy",,804139024,9.7808E+12,4,4.42,384,2014,2011,4/8/16,12/2/14,,,read
Norwood,Charles Portis,"Portis, Charles",,879517034,9.78088E+12,3,3.85,190,1999,1966,3/21/16,3/22/16,,,read
"Skin Tight (Mick Stranahan, #1)",Carl Hiaasen,"Hiaasen, Carl",,446695696,9.78045E+12,3,3.99,432,2005,1989,10/22/15,10/10/13,,,read
Armada,Ernest Cline,"Cline, Ernest",,804137250,9.7808E+12,5,3.56,355,2015,2015,9/16/15,9/17/15,,,read
The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,62255657,9.78006E+12,5,4.01,181,2013,2013,6/18/15,12/3/13,,,read
Gone Girl,Gillian Flynn,"Flynn, Gillian",,553418351,9.78055E+12,4,4.15,560,2014,2012,6/9/15,6/10/15,,,read
Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García","Edith Grossman, Kjell Risvik, Carlos Marrodán Casas",140003468X,9.7814E+12,2,3.94,348,2003,1985,5/29/15,4/23/15,,,read
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,030726999X,9.78031E+12,4,4.24,566,2010,2007,1/20/15,1/21/15,,,read
And Then There Were None,Agatha Christie,"Christie, Agatha",,312330871,9.78031E+12,4,4.27,264,2004,1939,9/30/14,11/19/10,,,read
The Graveyard Book,Neil Gaiman,"Gaiman, Neil",Dave McKean,60530928,9.78006E+12,4,4.15,312,2008,2008,8/26/14,8/20/14,,,read
"The Magician's Land (The Magicians, #3)",Lev Grossman,"Grossman, Lev",,,,4,4.14,402,2014,2014,8/19/14,8/20/14,,,read
Ape House,Sara Gruen,"Gruen, Sara",,385664443,9.78039E+12,2,3.51,303,2010,2010,4/27/14,4/29/14,,,read
"Wheelmen: Lance Armstrong, the Tour de France, and the Greatest Sports Conspiracy Ever",Reed Albergotti,"Albergotti, Reed",Vanessa O'Connell,1592408486,9.78159E+12,4,4.05,384,2013,2013,4/5/14,4/5/14,,,read
"Bike Snob Abroad: Strange Customs, Incredible Fiets, and the Quest for Cycling Paradise",BikeSnobNYC,"BikeSnobNYC, BikeSnobNYC",,1452105251,9.78145E+12,3,3.71,192,2013,2013,3/4/14,3/6/14,,,read
The Art of Racing in the Rain,Garth Stein,"Stein, Garth",,1554681723,9.78155E+12,4,4.23,336,2008,2008,1/10/14,1/1/14,,,read
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,,,3,4.01,183,2004,1968,12/26/13,1/1/14,,,read
"Kill the Dead (Sandman Slim, #2)",Richard Kadrey,"Kadrey, Richard",,61714313,9.78006E+12,4,4.08,434,2010,2010,11/28/13,11/23/13,,,read
"The Shining (The Shining, #1)",Stephen  King,"King, Stephen",,450040186,9.78045E+12,4,4.28,497,1980,1977,10/17/13,10/17/13,,,read
"The Hunt for Red October (Jack Ryan Universe, #4)",Thomas L. Clancy,"Clancy, Thomas L.",,870212850,9.78087E+12,4,4.12,387,1984,1984,9/22/13,9/23/13,,,read
Unknown Pleasures: Inside Joy Division,Peter Hook,"Hook, Peter",,62222562,9.78006E+12,3,4.14,416,2013,2012,8/28/13,8/5/13,,,read
Shadow Divers,Robert Kurson,"Kurson, Robert",,,,3,4.37,335,2004,2004,8/19/13,6/7/13,,,read
"Fatale, Vol. 1: Death Chases Me",Ed Brubaker,"Brubaker, Ed","Sean Phillips, Dave  Stewart",1607065630,9.78161E+12,3,3.89,144,2012,2012,8/6/13,8/7/13,,,read
The Grifters,Jim Thompson,"Thompson, Jim",,679732489,9.78068E+12,4,3.93,189,1990,1963,8/4/13,8/5/13,,,read
"The Letter, the Witch, and the Ring",John Bellairs,"Bellairs, John",Richard Egielski,142402613,9.78014E+12,3,3.95,208,2004,1976,7/28/13,8/5/13,,,read
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,,,4,4.34,1125,2011,2011,7/8/13,4/26/13,,,read
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,,,4,4.17,1060,2011,2005,4/26/13,3/7/13,,,read
Shazam!: The Golden Age of the World's Mightiest Mortal,Chip Kidd,"Kidd, Chip",Geoff Spear,810995964,9.78081E+12,3,4.16,246,2010,2010,2/10/13,10/11/12,,,read
This Is How You Lose Her,Junot Díaz,"Díaz, Junot",,1594487367,9.78159E+12,3,3.74,217,2012,2010,1/29/13,1/30/13,,,read
The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,,9.78039E+12,4,4,506,2011,2011,1/13/13,10/2/11,,,read
Food Matters: A Guide to Conscious Eating with More Than 75 Recipes,Mark Bittman,"Bittman, Mark",,1416575642,9.78142E+12,4,3.97,336,2008,2008,1/4/13,5/19/09,,,read
"Sandman Slim (Sandman Slim, #1)",Richard Kadrey,"Kadrey, Richard",,61714305,9.78006E+12,4,3.95,388,2009,2009,10/22/12,10/11/12,,,read
"John Dies at the End (John Dies at the End, #1)",David  Wong,"Wong, David",Jason Pargin,978970764,9.78098E+12,4,3.86,362,2007,2007,9/25/12,9/25/12,,,read
"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,030788743X,9.78031E+12,5,4.23,480,2011,2011,8/29/12,9/21/11,,,read
Candide,Voltaire,"Voltaire, Voltaire","Rockwell Kent, Walter Jerrold, Don Hagen, Sara Gioacchino Corcos",486266893,9.78049E+12,3,3.76,129,1991,1759,8/25/12,7/6/12,,,read
"The Magician King (The Magicians, #2)",Lev Grossman,"Grossman, Lev",,043402080X,9.78043E+12,4,3.93,432,2011,2011,8/15/12,7/6/12,,,read
"Practical Demonkeeping (Pine Cove, #1)",Christopher Moore,"Moore, Christopher",,60735422,9.78006E+12,3,3.84,243,2004,1992,7/4/12,7/6/12,,,read
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,,,5,4.55,1177,2003,2000,6/12/12,6/5/12,,,read
The Guns of the South,Harry Turtledove,"Turtledove, Harry",,345413660,9.78035E+12,4,3.96,528,1997,1992,3/2/12,10/11/11,,,read
"The Blessing Way (Leaphorn & Chee, #1)",Tony Hillerman,"Hillerman, Tony",,61000019,9.78006E+12,3,4,306,2002,1970,1/29/12,1/30/12,,,read
"Cannery Row (Cannery Row, #1)",John Steinbeck,"Steinbeck, John",,014200068X,9.78014E+12,5,4.06,181,2002,1943,1/17/12,1/18/12,,,read
