Title,Author,ISBN,My Rating,Date Read,
Einstein (Heroes of the Mind),Corinne Maier,1910620017,4,1/2/17,
The Big Short: Inside the Doomsday Machine,Michael   Lewis,039335315X,3,12/10/16,
Kill My Mother,Jules Feiffer,871403145,3,12/7/16,
"Hollywood Frame by Frame: The Unseen Silver Screen in Contact Sheets, 1951-1997",Karina Longworth,1616892595,4,11/21/16,
Cousin Joseph,Jules Feiffer,1631490656,4,11/15/16,
"The Mummy, the Will, and the Crypt",John Bellairs,014240263X,4,9/5/16,
"The Gates (Samuel Johnson, #1)",John Connolly,340995793,4,9/1/16,
"Redwall (Redwall, #1)",Brian Jacques,,4,7/11/16,
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,394541553,4,4/10/16,
The Martian,Andy Weir,804139024,4,4/8/16,
Norwood,Charles Portis,879517034,3,3/21/16,
"Skin Tight (Mick Stranahan, #1)",Carl Hiaasen,446695696,3,10/22/15,
Armada,Ernest Cline,804137250,5,9/16/15,
The Ocean at the End of the Lane,Neil Gaiman,62255657,5,6/18/15,
Gone Girl,Gillian Flynn,553418351,4,6/9/15,
Love in the Time of Cholera,Gabriel García Márquez,140003468X,2,5/29/15,
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,030726999X,4,1/20/15,
And Then There Were None,Agatha Christie,312330871,4,9/30/14,
The Graveyard Book,Neil Gaiman,60530928,4,8/26/14,
"The Magician's Land (The Magicians, #3)",Lev Grossman,,4,8/19/14,
Ape House,Sara Gruen,385664443,2,4/27/14,
"Wheelmen: Lance Armstrong, the Tour de France, and the Greatest Sports Conspiracy Ever",Reed Albergotti,1592408486,4,4/5/14,
"Bike Snob Abroad: Strange Customs, Incredible Fiets, and the Quest for Cycling Paradise",BikeSnobNYC,1452105251,3,3/4/14,
The Art of Racing in the Rain,Garth Stein,1554681723,4,1/10/14,
"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,,3,12/26/13,
"Kill the Dead (Sandman Slim, #2)",Richard Kadrey,61714313,4,11/28/13,
"The Shining (The Shining, #1)",Stephen  King,450040186,4,10/17/13,
"The Hunt for Red October (Jack Ryan Universe, #4)",Thomas L. Clancy,870212850,4,9/22/13,
Unknown Pleasures: Inside Joy Division,Peter Hook,62222562,3,8/28/13,
Shadow Divers,Robert Kurson,,3,8/19/13,
"Fatale, Vol. 1: Death Chases Me",Ed Brubaker,1607065630,3,8/6/13,
The Grifters,Jim Thompson,679732489,4,8/4/13,
"The Letter, the Witch, and the Ring",John Bellairs,142402613,3,7/28/13,
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,,4,7/8/13,
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,,4,4/26/13,
Shazam!: The Golden Age of the World's Mightiest Mortal,Chip Kidd,810995964,3,2/10/13,
This Is How You Lose Her,Junot Díaz,1594487367,3,1/29/13,
The Night Circus,Erin Morgenstern,,4,1/13/13,
Food Matters: A Guide to Conscious Eating with More Than 75 Recipes,Mark Bittman,1416575642,4,1/4/13,
"Sandman Slim (Sandman Slim, #1)",Richard Kadrey,61714305,4,10/22/12,
"John Dies at the End (John Dies at the End, #1)",David  Wong,978970764,4,9/25/12,
"Ready Player One (Ready Player One, #1)",Ernest Cline,030788743X,5,8/29/12,
Candide,Voltaire,486266893,3,8/25/12,
"The Magician King (The Magicians, #2)",Lev Grossman,043402080X,4,8/15/12,
"Practical Demonkeeping (Pine Cove, #1)",Christopher Moore,60735422,3,7/4/12,
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,,5,6/12/12,
The Guns of the South,Harry Turtledove,345413660,4,3/2/12,
"The Blessing Way (Leaphorn & Chee, #1)",Tony Hillerman,61000019,3,1/29/12,
"Cannery Row (Cannery Row, #1)",John Steinbeck,014200068X,5,1/17/12,
The Outsiders,S.E. Hinton,670532576,3,11/29/11,
Marvels,Kurt Busiek,785100490,3,11/24/11,
The Postmortal,Drew Magary,143119826,5,11/18/11,
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,439023491,4,11/5/11,
Treasure Island,Robert Louis Stevenson,753453800,3,10/18/11,
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,439023483,4,10/7/11,
The Killer Inside Me,Jim Thompson,679733973,4,10/3/11,
Roald Dahl's Book of Ghost Stories,Roald Dahl,140071784,3,10/2/11,
"A Tale Dark & Grimm (A Tale Dark & Grimm, #1)",Adam Gidwitz,525423346,4,10/1/11,
"Books of Blood: Volume One (Books of Blood, #1)",Clive Barker,425083896,3,9/13/11,
Death: The High Cost of Living,Neil Gaiman,1852864982,3,9/4/11,
The Figure in the Shadows,John Bellairs,142402605,4,9/3/11,
The Vintage Bradbury: The Greatest Stories by America's Most Distinguished Practioner of Speculative Fiction,Ray Bradbury,679729461,4,8/28/11,
Manthropology: The Science of Why the Modern Male Is Not the Man He Used to Be,Peter Mcallister,,3,6/29/11,
"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,,0,4/26/11,
"52 Loaves: One Man's Relentless Pursuit of Truth, Meaning, and a Perfect Crust",William   Alexander,1565125835,4,3/17/11,
True Grit,Charles Portis,1585673692,4,3/3/11,
Something Wicked This Way Comes,Ray Bradbury,380729407,4,3/1/11,
Rules for My Unborn Son,Walker Lamond,312608950,4,2/19/11,
Point Man: How a Man Can Lead His Family,Steve Farrar,1590521269,1,2/18/11,
"Ripley's Game (Ripley, #3)",Patricia Highsmith,99283689,3,2/6/11,
Sway: The Irresistible Pull of Irrational Behavior,Ori Brafman,385524382,1,1/20/11,
Batman: The Black Casebook,Bill Finger,1401222641,4,1/20/11,
"The Magicians (The Magicians, #1)",Lev Grossman,670020559,4,1/1/11,
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,,3,12/22/10,
Rework,Jason Fried,307463745,4,12/15/10,
Marvel 1985,Mark Millar,1846534062,4,12/8/10,
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,812550706,4,11/10/10,
A Long Way Down,Nick Hornby,1594481938,3,10/30/10,
The Haunting of Hill House,Shirley Jackson,143039989,3,10/24/10,
Wait Till Helen Comes: A Ghost Story,Mary Downing Hahn,547028644,3,9/24/10,
The Curse of the Blue Figurine,John Bellairs,142402583,3,9/21/10,
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,553588486,4,9/14/10,
The Traveling Vampire Show,Richard Laymon,843948507,3,8/12/10,
Kick-Ass,Mark Millar,785132619,3,8/10/10,
Siddhartha,Hermann Hesse,,3,7/28/10,
"Jaws (Jaws, #1)",Peter Benchley,,4,7/10/10,
Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,385522266,4,7/2/10,
Outliers: The Story of Success,Malcolm Gladwell,316017922,5,6/17/10,
Franny and Zooey,J.D. Salinger,316769029,3,6/9/10,
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,380813815,5,5/26/10,
"Rising Stars, Vol. 2: Power",J. Michael Straczynski,1582402264,4,5/25/10,
Lord of the Flies,William Golding,,3,4/4/10,
"Ripley Under Ground (Ripley, #2)",Patricia Highsmith,679742301,4,3/9/10,
Earth Abides,George R. Stewart,345487133,4,2/25/10,
"Good-Bye, Chunky Rice",Craig Thompson,375714766,3,2/8/10,
The Nightly News,Jonathan Hickman,1582407665,3,2/7/10,
A Confederacy of Dunces,John Kennedy Toole,802130208,4,2/7/10,
Identity Crisis,Brad Meltzer,1401204589,4,1/24/10,
"Farewell, My Lovely (Philip Marlowe, #2)",Raymond Chandler,,4,1/5/10,
"You Suck (A Love Story, #2)",Christopher Moore,60590297,4,12/31/09,
Look at the Birdie: Unpublished Short Fiction,Kurt Vonnegut Jr.,038534371X,3,12/26/09,
The Splendid Table's How to Eat Supper,Lynne Rossetto Kasper,307346714,4,12/11/09,
The Road,Cormac McCarthy,307265439,5,12/11/09,
The Martian Chronicles,Ray Bradbury,553278223,4,12/4/09,
The Sea Wolf,Jack London,1598184318,5,11/17/09,
In Defense of Food: An Eater's Manifesto,Michael Pollan,1594201455,5,10/28/09,
The October Country,Ray Bradbury,380973871,3,10/16/09,
From Hell,Alan             Moore,861661419,5,10/3/09,
The Phantom Tollbooth,Norton Juster,394820371,5,8/27/09,
The Tooth Fairy,Graham Joyce,312868332,4,7/15/09,
Monster Spotter's Guide to North America,Scott Francis,1581809298,4,7/5/09,
Catch-22,Joseph Heller,684833395,4,6/11/09,
"The League of Extraordinary Gentlemen, Vol. 2",Alan             Moore,1401201180,3,5/2/09,
Don't Make Me Think: A Common Sense Approach to Web Usability,Steve Krug,321344758,5,4/20/09,
Frankenstein,Mary Wollstonecraft Shelley,,5,3/15/09,
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,142403881,4,3/8/09,
A Practical Guide to Designing for the Web,Mark Boulton,,5,2/26/09,
Watchmen,Alan             Moore,930289234,5,2/24/09,
Chess for Dummies,James Eade,764584049,3,1/26/09,
House of Leaves,Mark Z. Danielewski,,5,1/7/09,
The History of Love,Nicole Krauss,393328627,4,12/21/08,
The Curious Case of Benjamin Button: A Graphic Novel,F. Scott Fitzgerald,1594742812,4,11/22/08,
"The Goon, Volume 2: My Murderous Childhood (and Other Grievous Yarns)",Eric Powell,1593071094,5,11/19/08,
The Haunted Looking Glass,Edward Gorey,940322684,4,11/3/08,
The Confession,Domenic Stansberry,843953543,3,10/16/08,
I Am Legend,Richard Matheson,765357151,3,10/13/08,
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,374386137,4,10/7/08,
"A Dirty Job (Grim Reaper, #1)",Christopher Moore,60590270,5,10/4/08,
Choke,Chuck Palahniuk,385720920,4,9/23/08,
Ham on Rye,Charles Bukowski,006117758X,4,9/13/08,
Mobile Web Design,Cameron Moll,615185916,3,9/7/08,
Feasting on Asphalt: The River Run,Alton Brown,1584796812,4,9/2/08,
"Practical Magic (Practical Magic, #1)",Alice Hoffman,399140557,3,8/27/08,
"The Gunslinger Born (Stephen King's The Dark Tower: Beginnings, #1)",Peter David,785121447,4,8/26/08,
America (The Book): A Citizen's Guide to Democracy Inaction,Jon   Stewart,713998946,4,8/20/08,
"The Sandman, Vol. 3: Dream Country",Neil Gaiman,156389226X,3,8/19/08,
"The Sandman, Vol. 2: The Doll's House",Neil Gaiman,1563892251,3,8/12/08,
"The Sandman, Vol. 1: Preludes & Nocturnes",Neil Gaiman,1563892278,3,8/7/08,
Peace,Gene Wolfe,,4,7/13/08,
A Touch of Death,Charles    Williams,843955880,3,7/6/08,
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,,5,5/13/08,
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,60899220,5,4/22/08,
Invisible Monsters,Chuck Palahniuk,393319296,3,3/21/08,
The Blind Assassin,Margaret Atwood,,1,3/1/08,
"The Lust Lizard of Melancholy Cove (Pine Cove, #2)",Christopher Moore,60735457,4,3/1/08,
"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,,5,2/28/08,
Strangers on a Train,Patricia Highsmith,393321983,4,2/1/08,
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,739461192,1,1/1/08,
Election,Tom Perrotta,399143661,4,1/1/08,
1984,George Orwell,,5,12/1/07,
McSweeney's Enchanted Chamber of Astonishing Stories,Michael Chabon,1400078741,3,11/9/07,
The Amazing Adventures of the Escapist: Volume 2,Brian K. Vaughan,1593071728,3,10/1/07,
"McSweeney's Issue 10: McSweeney's Mammoth Treasury of Thrilling Tales (McSweeney’s Quarterly Concern, #10)",Michael Chabon,140003339X,4,10/1/07,
13 Monsters,Dorothy Gladys Spicer,,3,9/1/07,
"Thinking with Type: A Critical Guide for Designers, Writers, Editors, and Students",Ellen Lupton,1568984480,5,8/1/07,
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,,5,6/1/07,
The Invention of Hugo Cabret,Brian Selznick,,5,6/1/07,
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,439686520,4,6/1/07,
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,439139597,4,6/1/07,
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,,5,5/1/07,
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,043965548X,5,5/1/07,
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,439554934,4,5/1/07,
White Fang,Jack London,,5,4/1/07,
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,743236017,3,3/1/07,
"Rich Dad, Poor Dad",Robert T. Kiyosaki,751532711,3,1/1/05,
The Best American Short Stories 2008,E.L. Doctorow,395926866,3,1/1/05,
’Salem’s Lot,Stephen  King,450031063,3,1/1/05,
To Kill a Mockingbird,Harper Lee,60935464,5,1/1/04,
"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,671664948,4,6/1/03,
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,671746065,5,6/1/03,
One Flew Over the Cuckoo’s Nest,Ken Kesey,,5,6/1/01,
Ten Little Indians,Sherman Alexie,009946456X,4,1/1/01,
The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie,802141676,4,1/1/99,
Breakfast of Champions,Kurt Vonnegut Jr.,385334206,5,1/1/99,
More to the Story,Hena Khan,148149211X,0,,
The Huntress,Kate Quinn,62884344,0,,
The Guest List,Lucy Foley,,4,,
Small Things Like These,Claire Keegan,802158749,0,,
Good for a Girl: A Woman Running in a Man's World,Lauren Fleshman,593296788,0,,
The Deluge,Stephen Markley,1982123095,0,,
Prozac Nation,Elizabeth Wurtzel,1573225126,0,,
"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,1250313198,0,,
Tower,Bae Myung-hoon,1916277128,0,,
The Woman in the Library,Sulari Gentill,,0,,
Fairy Tale,Stephen  King,1668002175,0,,
The Patron Saint of Liars,Ann Patchett,1841150509,0,,
Hiding the Elephant: How Magicians Invented the Impossible and Learned to Disappear,Jim Steinmeyer,786714018,0,,
"Love, Lies, and Hocus Pocus: Beginnings (The Lily Singer Adventures, #1)",Lydia Sherrer,,0,,
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,553384287,3,,
"Agents of Influence: A British Plot, a Canadian Spy, and the Secret Effort to Bring America into World War II",Henry Hemming,1541742141,0,,
The Torqued Man,Peter  Mann,63072106,0,,
Madhouse at the End of the Earth: The Belgica's Journey into the Dark Antarctic Night,Julian Sancton,1984824333,0,,
Tiger Girl And The Candy Kid: America’s Original Gangster Couple – The Jazz Age True Crime Tale of a Million-Dollar Heist and Tabloid Infamy,Glenn Stout,358067774,0,,
The Great Train Robbery,Michael Crichton,553129198,0,,
Horseman: A Tale of Sleepy Hollow,Christina Henry,593199782,0,,
"The Apollo Murders (Apollo Murders, #1)",Chris Hadfield,316264539,0,,
Up in the Old Hotel,Joseph Mitchell,679746315,0,,
Let the Great World Spin,Colum McCann,1400063736,0,,
Light from Uncommon Stars,Ryka Aoki,1250789060,0,,
The Fortune Men,Nadifa Mohamed,241466946,0,,
Bewilderment,Richard Powers,393881148,0,,
"Wytches, Volume 1",Scott Snyder,1632153807,0,,
"The Diviners (The Diviners, #1)",Libba Bray,,0,,
The Hollow Places,T. Kingfisher,1534451129,0,,
The Adventures of Nicholas,Helen Siiteri,1412038650,0,,
"Favorite Recipes from Melissa Clark's Kitchen: Family Meals, Festive Gatherings, and Everything In-between",Melissa Clark,316354147,0,,
The Sentence,Louise Erdrich,006267112X,0,,
Homegoing,Yaa Gyasi,,0,,
The Book of Lost Names,Kristin Harmel,1982131896,0,,
White Is for Witching,Helen Oyeyemi,330458140,0,,
The Treasure of Alpheus Winterborn,John Bellairs,140380094,0,,
Secret of the Warlock's Crypt,Tom   Hayes,1626130493,0,,
"14 (Threshold, #1)",Peter Clines,,0,,
The Sword of Kaigen,M.L. Wang,,0,,
Christmas Tales of Terror (Tales of Terror),Chris Priestley,,0,,
The Dead of Winter,Chris Priestley,1408800136,0,,
"Jade City (The Green Bone Saga, #1)",Fonda Lee,316440884,0,,
The Fortress of Solitude,Jonathan Lethem,571219357,0,,
The Cold Millions,Jess Walter,006286808X,0,,
Beautiful Ruins,Jess Walter,61928127,0,,
"The Jigsaw Man (Inspector Anjelica Henley, #1)",Nadine Matheson,,0,,
Later,Stephen  King,,0,,
Northern Spy,Flynn Berry,,0,,
Code Name: Lise: The True Story of the Woman Who Became WWII's Most Highly Decorated Spy,Larry Loftis,1501198653,0,,
"Paris, 1919: Six Months that Changed the World",Margaret MacMillan,375760520,0,,
Fingersmith,Sarah Waters,1101057025,0,,
The Essential Ellison,Harlan Ellison,962344737,0,,
News of the World,Paulette Jiles,62409204,0,,
"Master & Commander (Aubrey & Maturin, #1)",Patrick O'Brian,393307050,0,,
I Capture the Castle,Dodie Smith,312181108,0,,
The Summer Book,Tove Jansson,954221710,0,,
The Ten Thousand Doors of January,Alix E. Harrow,316421995,0,,
Hour of the Witch,Chris Bohjalian,385542437,0,,
Wild Women and the Blues,Denny S.  Bryce,1496730089,0,,
Outlawed,Anna North,,0,,
The Hike,Drew Magary,399563857,0,,
"Murder in an Irish Village (Irish Village Mystery, #1)",Carlene O'Connor,1617738441,0,,
The Name of the Rose,Umberto Eco,156001314,0,,
Skippy Dies,Paul Murray,241141826,0,,
The Vanishing Half,Brit Bennett,,0,,
The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,190496010,0,,
Barbarian Days: A Surfing Life,William Finnegan,1594203474,0,,
Lifespan: Why We Age―and Why We Don't Have To,David A. Sinclair,1501191977,0,,
Street of Eternal Happiness: Big City Dreams Along a Shanghai Road,Rob Schmitz,553418084,0,,
The Empty Mirror: Experiences in a Japanese Zen Monastery,Janwillem van de Wetering,312207743,0,,
"Ready Player Two (Ready Player One, #2)",Ernest Cline,1524761338,3,,
"While Justice Sleeps (Avery Keene, #1)",Stacey Abrams,385546572,0,,
First Person Singular: Stories,Haruki Murakami,593318072,0,,
The Committed,Viet Thanh Nguyen,,0,,
Hamnet,Maggie O'Farrell,1472223799,0,,
"The Black Count: Glory, Revolution, Betrayal, and the Real Count of Monte Cristo",Tom Reiss,030738246X,0,,
"A Highland Christmas (Hamish Macbeth, #15.5)",M.C. Beaton,,4,,
"The Last Lion: Winston Spencer Churchill: Defender of the Realm, 1940-1965",William Manchester,316547700,0,,
"That Wild Country: An Epic Journey through the Past, Present, and Future of America's Public Lands",Mark Kenyon,1542043050,0,,
The Snow Child,Eowyn Ivey,316175676,0,,
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,679444327,0,,
"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,,0,,
Inner Engineering: A Yogi's Guide to Joy,Sadhguru,812997794,0,,
The Secrets We Kept,Lara Prescott,525656162,0,,
Joel on Software,Joel Spolsky,1590593898,0,,
"Conspiracy: Peter Thiel, Hulk Hogan, Gawker, and the Anatomy of Intrigue",Ryan Holiday,735217661,0,,
"The Silicon Boys: And Their Valley of Dreams – High-Tech Genius, Greed, and the Forging of the New Economy",David A. Kaplan,688179061,0,,
"The Great Brain (Great Brain, #1)",John D. Fitzgerald,142400580,0,,
Down and Out in the Magic Kingdom,Cory Doctorow,076530953X,0,,
In Cold Blood,Truman Capote,679745580,0,,
The Fisherman,John  Langan,1939905214,0,,
Dark Matter,Michelle Paver,1409123782,0,,
Unsheltered,Barbara Kingsolver,62865501,0,,
Truth & Beauty,Ann Patchett,60572159,0,,
"Alcatraz Versus the Evil Librarians (Alcatraz, #1)",Brandon Sanderson,439925509,0,,
Piranesi,Susanna Clarke,163557563X,0,,
"The Silver Arrow (The Silver Arrow, #1)",Lev Grossman,316539538,0,,
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,,0,,
"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",Glenn Greenwald,162779073X,0,,
An Unnecessary Woman,Rabih Alameddine,802122140,0,,
"The Road to Unfreedom: Russia, Europe, America",Timothy Snyder,525574468,0,,
The Sun Down Motel,Simone St. James,440000173,0,,
"Hell Bent (Alex Stern, #2)",Leigh Bardugo,1250313112,0,,
Afterland,Lauren Beukes,031626783X,0,,
The Museum of Extraordinary Things,Alice Hoffman,1451693567,0,,
The Drifters,James A. Michener,449213536,0,,
Welcome to Hard Times,E.L. Doctorow,452275717,0,,
The Ox-Bow Incident,Walter Van Tilburg Clark,812972589,0,,
"The City of Brass (The Daevabad Trilogy, #1)",S.A. Chakraborty,62678108,0,,
Country,Michael     Hughes,62940325,0,,
Gods of Jade and Shadow,Silvia Moreno-Garcia,,0,,
The Outsider (Holly Gibney #1),Stephen  King,1501180983,0,,
Under the Frog,Tibor Fischer,312278713,0,,
The Invention of Wings,Sue Monk Kidd,143121707,0,,
The Glass Hotel,Emily St. John Mandel,525521143,0,,
"Sex Workers, Psychics, and Numbers Runners: Black Women in New York City's Underground Economy (New Black Studies Series)",LaShawn Harris,252040201,0,,
"Kindness Goes Unpunished (Walt Longmire, #3)",Craig Johnson,670031577,4,,
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,,0,,
Fleishman Is in Trouble,Taffy Brodesser-Akner,525510885,0,,
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,,0,,
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,307408841,0,,
"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,345298349,0,,
Return To The Reich: A Holocaust Refugee’s Secret Mission to Defeat the Nazis,Eric Lichtblau,1328528537,0,,
Felon: Poems,Reginald Dwayne Betts,393652149,0,,
Night Boat to Tangier,Kevin Barry,385540310,0,,
A Man Without a Country,Kurt Vonnegut Jr.,081297736X,0,,
The Overstory,Richard Powers,039335668X,0,,
A Thousand Sisters: The Heroic Airwomen of the Soviet Union in World War II,Elizabeth Wein,62453041,0,,
Before We Were Yours,Lisa Wingate,425284689,0,,
Mistress of the Ritz,Melanie Benjamin,399182241,0,,
"The Goblin Emperor (The Chronicles of Osreth, #1)",Katherine Addison,076532699X,0,,
"Blind Willow, Sleeping Woman",Haruki Murakami,1400044618,0,,
The Immortal Irishman: The Irish Revolutionary Who Became an American Hero,Timothy Egan,544272889,0,,
Side Hustle: From Idea to Income in 27 Days,Chris Guillebeau,1524758841,0,,
Principles: Life and Work,Ray Dalio,1508243247,0,,
"Weird Parenting Wins: Bathtub Dining, Family Screams, and Other Hacks from the Parenting Trenches",Hillary Frank,143132555,0,,
The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold,,0,,
Recursion,Blake Crouch,1524759783,0,,
"SAS Survival Handbook: How to Survive in the Wild, in Any Climate, on Land or at Sea",John  Wiseman,60578793,0,,
American Spy,Lauren Wilkinson,812998952,0,,
"Patriot Games (Jack Ryan, #1)",Tom Clancy,425134350,0,,
The Body: A Guide for Occupants,Bill Bryson,385539304,0,,
The Miraculous Journey of Edward Tulane,Kate DiCamillo,763625892,0,,
Dracula,Bram Stoker,393970124,3,,
Just Show Up: And Other Enduring Values from Baseball's Iron Man,Cal Ripken Jr.,1982656913,0,,
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,385521316,0,,
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,006287067X,0,,
The Great War: Stories Inspired by Items from the First World War,David Almond,763675547,0,,
The Sisters Brothers,Patrick deWitt,62041266,5,,
"The Passage (The Passage, #1)",Justin Cronin,345504968,0,,
Lost Boy: The True Story of Captain Hook,Christina Henry,399584021,0,,
The Haunting of Ashburn House,Darcy Coates,994630603,0,,
The Porpoise,Mark Haddon,1784742821,0,,
The Last Train to London,Meg Waite Clayton,006294696X,0,,
"Out of Darkness, Shining Light",Petina Gappah,1982110333,0,,
Through the Woods,E.M. Carroll,1442465956,0,,
The World That We Knew,Alice Hoffman,1501137573,0,,
Citizen Soldiers: The US Army from the Normandy Beaches to the Bulge to the Surrender of Germany,Stephen E. Ambrose,684848015,0,,
Allies,Alan Gratz,1338245724,0,,
Remote: Office Not Required,David Heinemeier Hansson,804148996,0,,
Norse Mythology,Neil Gaiman,039360909X,4,,
Nancy Drew: The Palace of Wisdom,Kelly Thompson,,0,,
My Thoughts Exactly,Allen Lily,1911600923,0,,
The Witches Are Coming,Lindy West,316449881,0,,
American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Maureen Callahan,052542864X,0,,
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,073522529X,0,,
Mama's Last Hug: Animal Emotions and What They Tell Us about Ourselves,Frans de Waal,393635066,0,,
The Heartbeat of Wounded Knee: Native America from 1890 to the Present,David Treuer,1594633150,0,,
The Sound of Gravel,Ruth Wariner,1250077699,0,,
The Wisdom of Wolves: Lessons From the Sawtooth Pack,Jim Dutcher,1426218869,0,,
All the Light We Cannot See,Anthony Doerr,1476746583,5,,
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,385534248,3,,
"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,1405258217,0,,
Shining Through,Susan Isaacs,60159790,0,,
Hero Found: The Greatest POW Escape of the Vietnam War,Bruce   Henderson,61571369,0,,
Fort Yukon Trader,C. Masten Beaver,,3,,
"The Testaments (The Handmaid's Tale, #2)",Margaret Atwood,1784742325,0,,
The Starless Sea,Erin Morgenstern,1910701459,0,,
It,Stephen  King,,0,,
Little Children,Tom Perrotta,312315732,0,,
The Old Willis Place,Mary Downing Hahn,618430180,0,,
"Nightmares! (Nightmares!, #1)",Jason Segel,385744250,4,,
The Duke of Deception: Memories of My Father,Geoffrey Wolff,679727523,0,,
The Great Alone,Kristin Hannah,,0,,
"Paper Girls, Volume 2",Brian K. Vaughan,1632158957,0,,
Half Baked Harvest Cookbook: Recipes from My Barn in the Mountains,Tieghan Gerard,553496395,0,,
Grant,Ron Chernow,159420487X,0,,
You Don't Have to Say You Love Me,Sherman Alexie,031627075X,0,,
"What the Hell Did I Just Read: A Novel of Cosmic Horror (John Dies at the End, #3)",David  Wong,1250040205,0,,
Sleeping Beauties,Stephen  King,150116340X,0,,
"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel,1101886692,0,,
The Mortal Storm,Phyllis Bottome,810114712,0,,
"Authority (Southern Reach, #2)",Jeff Vandermeer,374104107,0,,
"Ranger Games: A Story of Soldiers, Family and an Inexplicable Crime",Ben Blum,804166072,0,,
30 Days of Night,Steve Niles,971977550,3,,
The BFG,Roald Dahl,141311371,0,,
October Dreams: A Celebration of Halloween,Richard  Chizmar,451458958,0,,
"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine who Outwitted America's Enemies",Jason Fagone,62430483,0,,
The Season of Passage,Christopher Pike,812510488,0,,
The Legend of Decimus Croome: A Halloween Carol,Kevin  Purdy,,0,,
Manhattan Beach,Jennifer Egan,1476716730,0,,
"Dynasty of Evil (Star Wars: Darth Bane, #3)",Drew Karpyshyn,345511565,4,,
The Time Traveler's Wife,Audrey Niffenegger,965818675,0,,
The Polysyllabic Spree,Nick Hornby,1932416242,0,,
The Writer and the Witch,Robin Sloan,,0,,
"Ajax Penumbra 1969 (Mr. Penumbra's 24-Hour Bookstore, #0.5)",Robin Sloan,,0,,
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,,0,,
Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,345376595,0,,
"Holes (Holes, #1)",Louis Sachar,439244196,4,,
